team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,12,A. Bandaogo,55,,,1:12
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,15,A. Varli,8,,,1:15
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,9,C. Turgut,23,,,1:9
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,4,E. Bruinsma,33,,,1:4
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,42,H. Senol,15,,,1:42
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,6,J. Johnson,92,,,1:6
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,5,J. Lecque,0,,,1:5
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,13,K. Van Der Vuurst De Vries,1,,,1:13
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,11,M. Senli,65,,,1:11
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,10,M. Türen,7,,,1:10
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,7,S. Pipes Jr,11,,,1:7
1,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,8,Y. Özkan,2,,,1:8
2,ALİAĞA PETKİM SPOR,PTK,45,B. Güler,2,,,2:45
2,ALİAĞA PETKİM SPOR,PTK,67,D. Efianayi Jr,4,,,2:67
2,ALİAĞA PETKİM SPOR,PTK,66,J. Floyd,20,,,2:66
2,ALİAĞA PETKİM SPOR,PTK,46,K. Soyuçayli,1,,,2:46
2,ALİAĞA PETKİM SPOR,PTK,43,M. Kurtuldum,7,,,2:43
2,ALİAĞA PETKİM SPOR,PTK,64,M. Sajus,19,,,2:64
2,ALİAĞA PETKİM SPOR,PTK,98,P. Scrubb,23,,,2:98
2,ALİAĞA PETKİM SPOR,PTK,65,R. Blumbergs,6,,,2:65
2,ALİAĞA PETKİM SPOR,PTK,44,T. Sav,15,,,2:44
2,ALİAĞA PETKİM SPOR,PTK,70,U. Utomi,8,,,2:70
2,ALİAĞA PETKİM SPOR,PTK,68,Y. Franke,5,,,2:68
2,ALİAĞA PETKİM SPOR,PTK,42,Y. Sonsirma,9,,,2:42
