team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,ESENLER EROKSPOR,ERK,19,A. Duverioglu,44,,,1:19
1,ESENLER EROKSPOR,ERK,20,E. Arna,18,,,1:20
1,ESENLER EROKSPOR,ERK,21,E. Gazi,7,,,1:21
1,ESENLER EROKSPOR,ERK,26,J. Crawford,1,,,1:26
1,ESENLER EROKSPOR,ERK,28,J. Love,22,,,1:28
1,ESENLER EROKSPOR,ERK,27,J. Simmons,11,,,1:27
1,ESENLER EROKSPOR,ERK,60,K. Pangos,4,,,1:60
1,ESENLER EROKSPOR,ERK,25,L. Galloway,9,,,1:25
1,ESENLER EROKSPOR,ERK,17,M. Akyel,41,,,1:17
1,ESENLER EROKSPOR,ERK,24,P. Cornelie,12,,,1:24
1,ESENLER EROKSPOR,ERK,15,T. Akyazili,14,,,1:15
1,ESENLER EROKSPOR,ERK,22,T. Thurman,15,,,1:22
2,BESIKTAS GAIN,BJK,67,A. Brown,21,,,2:67
2,BESIKTAS GAIN,BJK,62,A. Zizic,41,,,2:62
2,BESIKTAS GAIN,BJK,77,A. Özbek,13,,,2:77
2,BESIKTAS GAIN,BJK,75,B. Ugurlu,6,,,2:75
2,BESIKTAS GAIN,BJK,76,C. Kus,12,,,2:76
2,BESIKTAS GAIN,BJK,69,C. Morgan,9,,,2:69
2,BESIKTAS GAIN,BJK,71,D. Dotson,1,,,2:71
2,BESIKTAS GAIN,BJK,1,E. Adigüzel,19,,,2:1
2,BESIKTAS GAIN,BJK,72,I. Kamagate,4,,,2:72
2,BESIKTAS GAIN,BJK,70,J. Mathews,0,,,2:70
2,BESIKTAS GAIN,BJK,68,V. Brown,33,,,2:68
2,BESIKTAS GAIN,BJK,74,Y. Arslan,7,,,2:74
