team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,ESENLER EROKSPOR,1.0,79.0,"[19, 20, 24, 26, 28]",5,19|20|24|26|28,"['1:19', '1:20', '1:24', '1:26', '1:28']","['A. Duverioglu', 'E. Arna', 'P. Cornelie', 'J. Crawford', 'J. Love']",1:19|1:20|1:24|1:26|1:28,Unknownx5,1,10:00:00,1,05:21:00,0,0,10,12
1,ESENLER EROKSPOR,79.1,122.0,"[20, 24, 26, 27, 28]",5,20|24|26|27|28,"['1:20', '1:24', '1:26', '1:27', '1:28']","['E. Arna', 'P. Cornelie', 'J. Crawford', 'J. Simmons', 'J. Love']",1:20|1:24|1:26|1:27|1:28,Unknownx5,1,05:21:00,1,03:02:00,10,12,13,20
1,ESENLER EROKSPOR,122.1,146.0,"[20, 24, 25, 26, 27]",5,20|24|25|26|27,"['1:20', '1:24', '1:25', '1:26', '1:27']","['E. Arna', 'P. Cornelie', 'L. Galloway', 'J. Crawford', 'J. Simmons']",1:20|1:24|1:25|1:26|1:27,Unknownx5,1,03:02:00,1,01:15:00,13,20,16,25
1,ESENLER EROKSPOR,146.1,229.0,"[21, 22, 25, 26, 27]",5,21|22|25|26|27,"['1:21', '1:22', '1:25', '1:26', '1:27']","['E. Gazi', 'T. Thurman', 'L. Galloway', 'J. Crawford', 'J. Simmons']",1:21|1:22|1:25|1:26|1:27,Unknownx5,1,01:15:00,2,07:38:00,16,25,23,31
1,ESENLER EROKSPOR,229.1,242.0,"[21, 22, 25, 27, 28]",5,21|22|25|27|28,"['1:21', '1:22', '1:25', '1:27', '1:28']","['E. Gazi', 'T. Thurman', 'L. Galloway', 'J. Simmons', 'J. Love']",1:21|1:22|1:25|1:27|1:28,Unknownx5,2,07:38:00,2,06:50:00,23,31,25,31
1,ESENLER EROKSPOR,242.1,291.0,"[21, 22, 24, 25, 28]",5,21|22|24|25|28,"['1:21', '1:22', '1:24', '1:25', '1:28']","['E. Gazi', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Love']",1:21|1:22|1:24|1:25|1:28,Unknownx5,2,06:50:00,2,04:34:00,25,31,28,35
1,ESENLER EROKSPOR,291.1,362.0,"[20, 22, 24, 25, 28]",5,20|22|24|25|28,"['1:20', '1:22', '1:24', '1:25', '1:28']","['E. Arna', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Love']",1:20|1:22|1:24|1:25|1:28,Unknownx5,2,04:34:00,2,00:38:80,28,35,36,40
1,ESENLER EROKSPOR,362.1,378.0,"[21, 24, 25, 27, 28]",5,21|24|25|27|28,"['1:21', '1:24', '1:25', '1:27', '1:28']","['E. Gazi', 'P. Cornelie', 'L. Galloway', 'J. Simmons', 'J. Love']",1:21|1:24|1:25|1:27|1:28,Unknownx5,2,00:38:80,3,10:00:00,36,40,36,40
1,ESENLER EROKSPOR,378.1,424.0,"[20, 24, 26, 27, 28]",5,20|24|26|27|28,"['1:20', '1:24', '1:26', '1:27', '1:28']","['E. Arna', 'P. Cornelie', 'J. Crawford', 'J. Simmons', 'J. Love']",1:20|1:24|1:26|1:27|1:28,Unknownx5,3,10:00:00,3,07:13:00,36,40,40,43
1,ESENLER EROKSPOR,424.1,450.0,"[20, 24, 25, 26, 27]",5,20|24|25|26|27,"['1:20', '1:24', '1:25', '1:26', '1:27']","['E. Arna', 'P. Cornelie', 'L. Galloway', 'J. Crawford', 'J. Simmons']",1:20|1:24|1:25|1:26|1:27,Unknownx5,3,07:13:00,3,05:35:00,40,43,43,47
1,ESENLER EROKSPOR,450.1,473.0,"[20, 22, 24, 25, 26]",5,20|22|24|25|26,"['1:20', '1:22', '1:24', '1:25', '1:26']","['E. Arna', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Crawford']",1:20|1:22|1:24|1:25|1:26,Unknownx5,3,05:35:00,3,03:31:00,43,47,48,52
1,ESENLER EROKSPOR,473.1,566.0,"[21, 22, 24, 25, 26]",5,21|22|24|25|26,"['1:21', '1:22', '1:24', '1:25', '1:26']","['E. Gazi', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Crawford']",1:21|1:22|1:24|1:25|1:26,Unknownx5,3,03:31:00,4,08:59:00,48,52,59,64
