team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,ESENLER EROKSPOR,1.0,79.0,"[19, 20, 24, 26, 28]",19|20|24|26|28,13,13,15,10,12,-2,76.92307692307692,80.0,1,10:00:00,1,05:21:00,0,0,10,12,Unknownx5,5,19|20|24|26|28,1:19|1:20|1:24|1:26|1:28,"[19, 20, 24, 26, 28]","['1:19', '1:20', '1:24', '1:26', '1:28']","['A. Duverioglu', 'E. Arna', 'P. Cornelie', 'J. Crawford', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,79.1,122.0,"[20, 24, 26, 27, 28]",20|24|26|27|28,9,9,8,3,8,-5,33.333333333333336,100.0,1,05:21:00,1,03:02:00,10,12,13,20,Unknownx5,5,20|24|26|27|28,1:20|1:24|1:26|1:27|1:28,"[20, 24, 26, 27, 28]","['1:20', '1:24', '1:26', '1:27', '1:28']","['E. Arna', 'P. Cornelie', 'J. Crawford', 'J. Simmons', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,122.1,146.0,"[20, 24, 25, 26, 27]",20|24|25|26|27,4,4,5,3,5,-2,75.0,100.0,1,03:02:00,1,01:15:00,13,20,16,25,Unknownx5,5,20|24|25|26|27,1:20|1:24|1:25|1:26|1:27,"[20, 24, 25, 26, 27]","['1:20', '1:24', '1:25', '1:26', '1:27']","['E. Arna', 'P. Cornelie', 'L. Galloway', 'J. Crawford', 'J. Simmons']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,146.1,229.0,"[21, 22, 25, 26, 27]",21|22|25|26|27,15,15,14,7,6,1,46.666666666666664,42.857142857142854,1,01:15:00,2,07:38:00,16,25,23,31,Unknownx5,5,21|22|25|26|27,1:21|1:22|1:25|1:26|1:27,"[21, 22, 25, 26, 27]","['1:21', '1:22', '1:25', '1:26', '1:27']","['E. Gazi', 'T. Thurman', 'L. Galloway', 'J. Crawford', 'J. Simmons']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,229.1,242.0,"[21, 22, 25, 27, 28]",21|22|25|27|28,2,2,3,2,0,2,100.0,0.0,2,07:38:00,2,06:50:00,23,31,25,31,Unknownx5,5,21|22|25|27|28,1:21|1:22|1:25|1:27|1:28,"[21, 22, 25, 27, 28]","['1:21', '1:22', '1:25', '1:27', '1:28']","['E. Gazi', 'T. Thurman', 'L. Galloway', 'J. Simmons', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,242.1,291.0,"[21, 22, 24, 25, 28]",21|22|24|25|28,7,7,6,3,4,-1,42.857142857142854,66.66666666666667,2,06:50:00,2,04:34:00,25,31,28,35,Unknownx5,5,21|22|24|25|28,1:21|1:22|1:24|1:25|1:28,"[21, 22, 24, 25, 28]","['1:21', '1:22', '1:24', '1:25', '1:28']","['E. Gazi', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,291.1,362.0,"[20, 22, 24, 25, 28]",20|22|24|25|28,14,14,14,8,5,3,57.142857142857146,35.714285714285715,2,04:34:00,2,00:38:80,28,35,36,40,Unknownx5,5,20|22|24|25|28,1:20|1:22|1:24|1:25|1:28,"[20, 22, 24, 25, 28]","['1:20', '1:22', '1:24', '1:25', '1:28']","['E. Arna', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,362.1,378.0,"[21, 24, 25, 27, 28]",21|24|25|27|28,1,1,1,0,0,0,0.0,0.0,2,00:38:80,3,10:00:00,36,40,36,40,Unknownx5,5,21|24|25|27|28,1:21|1:24|1:25|1:27|1:28,"[21, 24, 25, 27, 28]","['1:21', '1:24', '1:25', '1:27', '1:28']","['E. Gazi', 'P. Cornelie', 'L. Galloway', 'J. Simmons', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,378.1,424.0,"[20, 24, 26, 27, 28]",20|24|26|27|28,8,8,8,4,3,1,50.0,37.5,3,10:00:00,3,07:13:00,36,40,40,43,Unknownx5,5,20|24|26|27|28,1:20|1:24|1:26|1:27|1:28,"[20, 24, 26, 27, 28]","['1:20', '1:24', '1:26', '1:27', '1:28']","['E. Arna', 'P. Cornelie', 'J. Crawford', 'J. Simmons', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,424.1,450.0,"[20, 24, 25, 26, 27]",20|24|25|26|27,3,3,4,3,4,-1,100.0,100.0,3,07:13:00,3,05:35:00,40,43,43,47,Unknownx5,5,20|24|25|26|27,1:20|1:24|1:25|1:26|1:27,"[20, 24, 25, 26, 27]","['1:20', '1:24', '1:25', '1:26', '1:27']","['E. Arna', 'P. Cornelie', 'L. Galloway', 'J. Crawford', 'J. Simmons']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,450.1,473.0,"[20, 22, 24, 25, 26]",20|22|24|25|26,4,4,4,5,5,0,125.0,125.0,3,05:35:00,3,03:31:00,43,47,48,52,Unknownx5,5,20|22|24|25|26,1:20|1:22|1:24|1:25|1:26,"[20, 22, 24, 25, 26]","['1:20', '1:22', '1:24', '1:25', '1:26']","['E. Arna', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Crawford']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,473.1,566.0,"[21, 22, 24, 25, 26]",21|22|24|25|26,15,15,15,11,12,-1,73.33333333333333,80.0,3,03:31:00,4,08:59:00,48,52,59,64,Unknownx5,5,21|22|24|25|26,1:21|1:22|1:24|1:25|1:26,"[21, 22, 24, 25, 26]","['1:21', '1:22', '1:24', '1:25', '1:26']","['E. Gazi', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Crawford']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,566.1,598.0,"[21, 22, 24, 25, 28]",21|22|24|25|28,8,8,7,0,2,-2,0.0,28.571428571428573,4,08:59:00,4,06:57:00,59,64,59,66,Unknownx5,5,21|22|24|25|28,1:21|1:22|1:24|1:25|1:28,"[21, 22, 24, 25, 28]","['1:21', '1:22', '1:24', '1:25', '1:28']","['E. Gazi', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,598.1,623.0,"[20, 24, 25, 27, 28]",20|24|25|27|28,5,5,5,2,8,-6,40.0,160.0,4,06:57:00,4,05:07:00,59,66,61,74,Unknownx5,5,20|24|25|27|28,1:20|1:24|1:25|1:27|1:28,"[20, 24, 25, 27, 28]","['1:20', '1:24', '1:25', '1:27', '1:28']","['E. Arna', 'P. Cornelie', 'L. Galloway', 'J. Simmons', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,623.1,668.0,"[20, 22, 24, 25, 28]",20|22|24|25|28,3,3,4,5,2,3,166.66666666666666,50.0,4,05:07:00,4,03:50:00,61,74,66,76,Unknownx5,5,20|22|24|25|28,1:20|1:22|1:24|1:25|1:28,"[20, 22, 24, 25, 28]","['1:20', '1:22', '1:24', '1:25', '1:28']","['E. Arna', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Love']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,668.1,706.0,"[20, 22, 24, 25, 26]",20|22|24|25|26,7,7,7,10,4,6,142.85714285714286,57.142857142857146,4,03:50:00,4,01:47:00,66,76,76,80,Unknownx5,5,20|22|24|25|26,1:20|1:22|1:24|1:25|1:26,"[20, 22, 24, 25, 26]","['1:20', '1:22', '1:24', '1:25', '1:26']","['E. Arna', 'T. Thurman', 'P. Cornelie', 'L. Galloway', 'J. Crawford']",ESENLER EROKSPOR
1,ESENLER EROKSPOR,706.1,784.0,"[20, 21, 24, 25, 26]",20|21|24|25|26,9,9,9,4,4,0,44.44444444444444,44.44444444444444,4,01:47:00,4,00:00:00,76,80,80,84,Unknownx5,5,20|21|24|25|26,1:20|1:21|1:24|1:25|1:26,"[20, 21, 24, 25, 26]","['1:20', '1:21', '1:24', '1:25', '1:26']","['E. Arna', 'E. Gazi', 'P. Cornelie', 'L. Galloway', 'J. Crawford']",ESENLER EROKSPOR
2,BESIKTAS GAIN,1.0,58.0,"[62, 67, 69, 70, 75]",62|67|69|70|75,10,10,10,10,8,2,100.0,80.0,1,10:00:00,1,06:15:00,0,0,10,8,Unknownx5,5,62|67|69|70|75,2:62|2:67|2:69|2:70|2:75,"[62, 67, 69, 70, 75]","['2:62', '2:67', '2:69', '2:70', '2:75']","['A. Zizic', 'A. Brown', 'C. Morgan', 'J. Mathews', 'B. Ugurlu']",BESIKTAS GAIN
2,BESIKTAS GAIN,58.1,81.0,"[62, 67, 68, 70, 75]",62|67|68|70|75,4,4,4,2,2,0,50.0,50.0,1,06:15:00,1,05:21:00,10,8,12,10,Unknownx5,5,62|67|68|70|75,2:62|2:67|2:68|2:70|2:75,"[62, 67, 68, 70, 75]","['2:62', '2:67', '2:68', '2:70', '2:75']","['A. Zizic', 'A. Brown', 'V. Brown', 'J. Mathews', 'B. Ugurlu']",BESIKTAS GAIN
2,BESIKTAS GAIN,81.1,124.0,"[68, 70, 71, 72, 76]",68|70|71|72|76,8,8,9,8,3,5,100.0,33.333333333333336,1,05:21:00,1,03:02:00,12,10,20,13,Unknownx5,5,68|70|71|72|76,2:68|2:70|2:71|2:72|2:76,"[68, 70, 71, 72, 76]","['2:68', '2:70', '2:71', '2:72', '2:76']","['V. Brown', 'J. Mathews', 'D. Dotson', 'I. Kamagate', 'C. Kus']",BESIKTAS GAIN
