team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,GLINT MANISA BASKET,1.0,81.0,"[24, 28, 30, 31, 33]",5,24|28|30|31|33,"['1:24', '1:28', '1:30', '1:31', '1:33']","['Y. Onan', 'J. Johnson', 'J. Cardoso Pereira', 'D. Smith', 'J. Mintz']",1:24|1:28|1:30|1:31|1:33,Unknownx5,1,10:00:00,1,04:44:00,0,0,15,14
1,GLINT MANISA BASKET,81.1,93.0,"[24, 29, 30, 31, 33]",5,24|29|30|31|33,"['1:24', '1:29', '1:30', '1:31', '1:33']","['Y. Onan', 'E. Mobley', 'J. Cardoso Pereira', 'D. Smith', 'J. Mintz']",1:24|1:29|1:30|1:31|1:33,Unknownx5,1,04:44:00,1,04:18:00,15,14,15,14
1,GLINT MANISA BASKET,93.1,115.0,"[24, 29, 30, 33, 34]",5,24|29|30|33|34,"['1:24', '1:29', '1:30', '1:33', '1:34']","['Y. Onan', 'E. Mobley', 'J. Cardoso Pereira', 'J. Mintz', 'K. Zemaitis']",1:24|1:29|1:30|1:33|1:34,Unknownx5,1,04:18:00,1,03:03:00,15,14,17,18
1,GLINT MANISA BASKET,115.1,133.0,"[22, 24, 29, 33, 34]",5,22|24|29|33|34,"['1:22', '1:24', '1:29', '1:33', '1:34']","['B. Çal', 'Y. Onan', 'E. Mobley', 'J. Mintz', 'K. Zemaitis']",1:22|1:24|1:29|1:33|1:34,Unknownx5,1,03:03:00,1,02:29:00,17,18,19,18
1,GLINT MANISA BASKET,133.1,171.0,"[16, 22, 29, 33, 34]",5,16|22|29|33|34,"['1:16', '1:22', '1:29', '1:33', '1:34']","['A. Çamoglu', 'B. Çal', 'E. Mobley', 'J. Mintz', 'K. Zemaitis']",1:16|1:22|1:29|1:33|1:34,Unknownx5,1,02:29:00,1,00:05:90,19,18,21,24
1,GLINT MANISA BASKET,171.1,182.0,"[16, 22, 24, 31, 34]",5,16|22|24|31|34,"['1:16', '1:22', '1:24', '1:31', '1:34']","['A. Çamoglu', 'B. Çal', 'Y. Onan', 'D. Smith', 'K. Zemaitis']",1:16|1:22|1:24|1:31|1:34,Unknownx5,1,00:05:90,2,10:00:00,21,24,23,24
1,GLINT MANISA BASKET,182.1,244.0,"[16, 22, 28, 31, 34]",5,16|22|28|31|34,"['1:16', '1:22', '1:28', '1:31', '1:34']","['A. Çamoglu', 'B. Çal', 'J. Johnson', 'D. Smith', 'K. Zemaitis']",1:16|1:22|1:28|1:31|1:34,Unknownx5,2,10:00:00,2,06:28:00,23,24,30,29
1,GLINT MANISA BASKET,244.1,264.0,"[16, 24, 28, 31, 34]",5,16|24|28|31|34,"['1:16', '1:24', '1:28', '1:31', '1:34']","['A. Çamoglu', 'Y. Onan', 'J. Johnson', 'D. Smith', 'K. Zemaitis']",1:16|1:24|1:28|1:31|1:34,Unknownx5,2,06:28:00,2,05:31:00,30,29,33,32
1,GLINT MANISA BASKET,264.1,299.0,"[16, 24, 28, 31, 33]",5,16|24|28|31|33,"['1:16', '1:24', '1:28', '1:31', '1:33']","['A. Çamoglu', 'Y. Onan', 'J. Johnson', 'D. Smith', 'J. Mintz']",1:16|1:24|1:28|1:31|1:33,Unknownx5,2,05:31:00,2,03:48:00,33,32,33,35
1,GLINT MANISA BASKET,299.1,337.0,"[16, 24, 28, 31, 34]",5,16|24|28|31|34,"['1:16', '1:24', '1:28', '1:31', '1:34']","['A. Çamoglu', 'Y. Onan', 'J. Johnson', 'D. Smith', 'K. Zemaitis']",1:16|1:24|1:28|1:31|1:34,Unknownx5,2,03:48:00,2,00:27:20,33,35,43,45
1,GLINT MANISA BASKET,337.1,348.0,"[16, 24, 30, 31, 34]",5,16|24|30|31|34,"['1:16', '1:24', '1:30', '1:31', '1:34']","['A. Çamoglu', 'Y. Onan', 'J. Cardoso Pereira', 'D. Smith', 'K. Zemaitis']",1:16|1:24|1:30|1:31|1:34,Unknownx5,2,00:27:20,3,10:00:00,43,45,43,45
1,GLINT MANISA BASKET,348.1,416.0,"[24, 29, 30, 31, 33]",5,24|29|30|31|33,"['1:24', '1:29', '1:30', '1:31', '1:33']","['Y. Onan', 'E. Mobley', 'J. Cardoso Pereira', 'D. Smith', 'J. Mintz']",1:24|1:29|1:30|1:31|1:33,Unknownx5,3,10:00:00,3,05:42:00,43,45,46,51
