team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,GALATASARAY MCT TECHNIC,1.0,59.0,"[70, 103, 104, 105, 109]",70|103|104|105|109,8,8,9,4,8,-4,50.0,88.88888888888889,1,10:00:00,1,06:18:00,0,0,4,8,Unknownx5,5,70|103|104|105|109,1:70|1:103|1:104|1:105|1:109,"[70, 103, 104, 105, 109]","['1:70', '1:103', '1:104', '1:105', '1:109']","['R. Öncel', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie ', 'W. Cummings']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,59.1,135.0,"[38, 103, 104, 105, 109]",38|103|104|105|109,13,13,13,10,12,-2,76.92307692307692,92.3076923076923,1,06:18:00,1,01:57:00,4,8,14,20,Unknownx5,5,38|103|104|105|109,1:38|1:103|1:104|1:105|1:109,"[38, 103, 104, 105, 109]","['1:38', '1:103', '1:104', '1:105', '1:109']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie ', 'W. Cummings']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,135.1,163.0,"[38, 103, 104, 107, 108]",38|103|104|107|108,2,2,2,0,3,-3,0.0,150.0,1,01:57:00,1,00:53:90,14,20,14,23,Unknownx5,5,38|103|104|107|108,1:38|1:103|1:104|1:107|1:108,"[38, 103, 104, 107, 108]","['1:38', '1:103', '1:104', '1:107', '1:108']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'R. Meeks', 'C. Bishop']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,163.1,178.0,"[70, 103, 106, 107, 108]",70|103|106|107|108,2,2,1,2,0,2,100.0,0.0,1,00:53:90,2,10:00:00,14,23,16,23,Unknownx5,5,70|103|106|107|108,1:70|1:103|1:106|1:107|1:108,"[70, 103, 106, 107, 108]","['1:70', '1:103', '1:106', '1:107', '1:108']","['R. Öncel', 'J. Palmer Jr', 'J. Robinson Jr', 'R. Meeks', 'C. Bishop']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,178.1,211.0,"[70, 106, 107, 108, 109]",70|106|107|108|109,4,4,4,6,3,3,150.0,75.0,2,10:00:00,2,08:21:00,16,23,22,26,Unknownx5,5,70|106|107|108|109,1:70|1:106|1:107|1:108|1:109,"[70, 106, 107, 108, 109]","['1:70', '1:106', '1:107', '1:108', '1:109']","['R. Öncel', 'J. Robinson Jr', 'R. Meeks', 'C. Bishop', 'W. Cummings']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,211.1,254.0,"[99, 103, 106, 107, 109]",99|103|106|107|109,5,5,5,3,4,-1,60.0,80.0,2,08:21:00,2,06:08:00,22,26,25,30,Unknownx5,5,99|103|106|107|109,1:99|1:103|1:106|1:107|1:109,"[99, 103, 106, 107, 109]","['1:99', '1:103', '1:106', '1:107', '1:109']","['M. Yasar', 'J. Palmer Jr', 'J. Robinson Jr', 'R. Meeks', 'W. Cummings']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,254.1,315.0,"[38, 103, 105, 107, 109]",38|103|105|107|109,9,9,10,6,7,-1,66.66666666666667,70.0,2,06:08:00,2,03:30:00,25,30,31,37,Unknownx5,5,38|103|105|107|109,1:38|1:103|1:105|1:107|1:109,"[38, 103, 105, 107, 109]","['1:38', '1:103', '1:105', '1:107', '1:109']","['A. Tuncer', 'J. Palmer Jr', 'F. Gillespie ', 'R. Meeks', 'W. Cummings']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,315.1,339.0,"[38, 103, 107, 108, 109]",38|103|107|108|109,4,4,3,4,3,1,100.0,100.0,2,03:30:00,2,02:51:00,31,37,35,40,Unknownx5,5,38|103|107|108|109,1:38|1:103|1:107|1:108|1:109,"[38, 103, 107, 108, 109]","['1:38', '1:103', '1:107', '1:108', '1:109']","['A. Tuncer', 'J. Palmer Jr', 'R. Meeks', 'C. Bishop', 'W. Cummings']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,339.1,349.0,"[101, 103, 107, 108, 109]",101|103|107|108|109,0,0,0,0,0,0,,,2,02:51:00,2,02:29:00,35,40,35,40,Unknownx5,5,101|103|107|108|109,1:101|1:103|1:107|1:108|1:109,"[101, 103, 107, 108, 109]","['1:101', '1:103', '1:107', '1:108', '1:109']","['T. Görener', 'J. Palmer Jr', 'R. Meeks', 'C. Bishop', 'W. Cummings']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,349.1,382.0,"[101, 103, 104, 108, 109]",101|103|104|108|109,5,5,5,3,2,1,60.0,40.0,2,02:29:00,2,01:10:00,35,40,38,42,Unknownx5,5,101|103|104|108|109,1:101|1:103|1:104|1:108|1:109,"[101, 103, 104, 108, 109]","['1:101', '1:103', '1:104', '1:108', '1:109']","['T. Görener', 'J. Palmer Jr', 'F. White Jr', 'C. Bishop', 'W. Cummings']",GALATASARAY MCT TECHNIC
1,GALATASARAY MCT TECHNIC,382.1,404.0,"[38, 103, 104, 108, 109]",38|103|104|108|109,2,2,2,4,0,4,200.0,0.0,2,01:10:00,2,00:23:10,38,42,42,42,Unknownx5,5,38|103|104|108|109,1:38|1:103|1:104|1:108|1:109,"[38, 103, 104, 108, 109]","['1:38', '1:103', '1:104', '1:108', '1:109']","['A. Tuncer', 'J. Palmer Jr', 'F. White Jr', 'C. Bishop', 'W. Cummings']",GALATASARAY MCT TECHNIC
