start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
1.0,12.0,1,10:00:00,1,09:47:00,1,FENERBAHÇE BEKO,"[79, 95, 96, 98, 99]",79|95|96|98|99,Unknownx5,"['1:79', '1:95', '1:96', '1:98', '1:99']","['T. Biberoviç', 'D. Hall', 'T. Tucker', 'M. Jantunen', 'A. Bacot Jr']",2,ALIAGA PETKIM SPOR,"[42, 64, 65, 67, 68]",42|64|65|67|68,Unknownx5,"['2:42', '2:64', '2:65', '2:67', '2:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi', 'Y. Franke']",1,0,0,0,0.0,,0,0,0,0,,0.0,0,0,0,0
12.1,61.0,1,09:47:00,1,05:18:00,1,FENERBAHÇE BEKO,"[79, 92, 95, 96, 98]",79|92|95|96|98,Unknownx5,"['1:79', '1:92', '1:95', '1:96', '1:98']","['T. Biberoviç', 'N. Melli', 'D. Hall', 'T. Tucker', 'M. Jantunen']",2,ALIAGA PETKIM SPOR,"[42, 64, 65, 67, 68]",42|64|65|67|68,Unknownx5,"['2:42', '2:64', '2:65', '2:67', '2:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi', 'Y. Franke']",12,10,10,0,83.33333333333333,90.9090909090909,11,10,10,0,90.9090909090909,83.33333333333333,0,0,9,11
61.1,63.0,1,05:18:00,1,05:18:00,1,FENERBAHÇE BEKO,"[76, 79, 92, 93, 96]",76|79|92|93|96,Unknownx5,"['1:76', '1:79', '1:92', '1:93', '1:96']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'B. Colson Ii', 'T. Tucker']",2,ALIAGA PETKIM SPOR,"[42, 64, 65, 67, 68]",42|64|65|67|68,Unknownx5,"['2:42', '2:64', '2:65', '2:67', '2:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi', 'Y. Franke']",0,0,0,0,,,0,0,0,0,,,9,11,9,11
63.1,75.0,1,05:18:00,1,04:37:00,1,FENERBAHÇE BEKO,"[76, 79, 92, 93, 96]",76|79|92|93|96,Unknownx5,"['1:76', '1:79', '1:92', '1:93', '1:96']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'B. Colson Ii', 'T. Tucker']",2,ALIAGA PETKIM SPOR,"[42, 44, 64, 67, 68]",42|44|64|67|68,Unknownx5,"['2:42', '2:44', '2:64', '2:67', '2:68']","['Y. Sonsirma', 'T. Sav', 'M. Sajus', 'D. Efianayi', 'Y. Franke']",1,3,0,3,300.0,0.0,1,0,3,-3,0.0,300.0,9,11,12,13
75.1,77.0,1,04:37:00,1,04:37:00,1,FENERBAHÇE BEKO,"[76, 92, 93, 94, 96]",76|92|93|94|96,Unknownx5,"['1:76', '1:92', '1:93', '1:94', '1:96']","['M. Mahmutoglu', 'N. Melli', 'B. Colson Ii', 'W. Baldwin Iv', 'T. Tucker']",2,ALIAGA PETKIM SPOR,"[42, 44, 64, 67, 68]",42|44|64|67|68,Unknownx5,"['2:42', '2:44', '2:64', '2:67', '2:68']","['Y. Sonsirma', 'T. Sav', 'M. Sajus', 'D. Efianayi', 'Y. Franke']",0,0,0,0,,,0,0,0,0,,,12,13,12,13
77.1,95.0,1,04:37:00,1,03:10:00,1,FENERBAHÇE BEKO,"[76, 92, 93, 94, 96]",76|92|93|94|96,Unknownx5,"['1:76', '1:92', '1:93', '1:94', '1:96']","['M. Mahmutoglu', 'N. Melli', 'B. Colson Ii', 'W. Baldwin Iv', 'T. Tucker']",2,ALIAGA PETKIM SPOR,"[44, 64, 67, 68, 69]",44|64|67|68|69,Unknownx5,"['2:44', '2:64', '2:67', '2:68', '2:69']","['T. Sav', 'M. Sajus', 'D. Efianayi', 'Y. Franke', 'S. Whittaker Jr']",2,2,4,-2,100.0,133.33333333333334,3,4,2,2,133.33333333333334,100.0,12,13,18,15
95.1,99.0,1,03:10:00,1,03:10:00,1,FENERBAHÇE BEKO,"[76, 77, 89, 93, 94]",76|77|89|93|94,Unknownx5,"['1:76', '1:77', '1:89', '1:93', '1:94']","['M. Mahmutoglu', 'J. Birsen', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv']",2,ALIAGA PETKIM SPOR,"[44, 64, 67, 68, 69]",44|64|67|68|69,Unknownx5,"['2:44', '2:64', '2:67', '2:68', '2:69']","['T. Sav', 'M. Sajus', 'D. Efianayi', 'Y. Franke', 'S. Whittaker Jr']",0,0,0,0,,,0,0,0,0,,,18,15,18,15
99.1,122.0,1,03:10:00,1,02:09:00,1,FENERBAHÇE BEKO,"[76, 77, 89, 93, 94]",76|77|89|93|94,Unknownx5,"['1:76', '1:77', '1:89', '1:93', '1:94']","['M. Mahmutoglu', 'J. Birsen', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv']",2,ALIAGA PETKIM SPOR,"[43, 66, 67, 69, 70]",43|66|67|69|70,Unknownx5,"['2:43', '2:66', '2:67', '2:69', '2:70']","['M. Kurtuldum', 'J. Floyd', 'D. Efianayi', 'S. Whittaker Jr', 'U. Utomi']",2,3,4,-1,150.0,133.33333333333334,3,4,3,1,133.33333333333334,150.0,18,15,20,20
122.1,138.0,1,02:09:00,1,00:45:10,1,FENERBAHÇE BEKO,"[76, 77, 89, 93, 94]",76|77|89|93|94,Unknownx5,"['1:76', '1:77', '1:89', '1:93', '1:94']","['M. Mahmutoglu', 'J. Birsen', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv']",2,ALIAGA PETKIM SPOR,"[43, 66, 68, 69, 70]",43|66|68|69|70,Unknownx5,"['2:43', '2:66', '2:68', '2:69', '2:70']","['M. Kurtuldum', 'J. Floyd', 'Y. Franke', 'S. Whittaker Jr', 'U. Utomi']",3,5,3,2,166.66666666666666,100.0,3,3,5,-2,100.0,166.66666666666666,20,20,27,22
138.1,146.0,1,00:45:10,1,00:39:30,1,FENERBAHÇE BEKO,"[77, 78, 89, 93, 94]",77|78|89|93|94,Unknownx5,"['1:77', '1:78', '1:89', '1:93', '1:94']","['J. Birsen', 'M. Eksioglu', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv']",2,ALIAGA PETKIM SPOR,"[43, 66, 68, 69, 70]",43|66|68|69|70,Unknownx5,"['2:43', '2:66', '2:68', '2:69', '2:70']","['M. Kurtuldum', 'J. Floyd', 'Y. Franke', 'S. Whittaker Jr', 'U. Utomi']",0,0,0,0,,,0,0,0,0,,,27,22,27,22
