team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,FENERBAHÇE BEKO,1.0,12.0,"[79, 95, 96, 98, 99]",79|95|96|98|99,1,1,1,0,0,0,0.0,0.0,1,10:00:00,1,09:47:00,0,0,0,0,Unknownx5,5,79|95|96|98|99,1:79|1:95|1:96|1:98|1:99,"[79, 95, 96, 98, 99]","['1:79', '1:95', '1:96', '1:98', '1:99']","['T. Biberoviç', 'D. Hall', 'T. Tucker', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,12.1,61.0,"[79, 92, 95, 96, 98]",79|92|95|96|98,12,12,12,9,11,-2,75.0,91.66666666666667,1,09:47:00,1,05:18:00,0,0,9,11,Unknownx5,5,79|92|95|96|98,1:79|1:92|1:95|1:96|1:98,"[79, 92, 95, 96, 98]","['1:79', '1:92', '1:95', '1:96', '1:98']","['T. Biberoviç', 'N. Melli', 'D. Hall', 'T. Tucker', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,61.1,75.0,"[76, 79, 92, 93, 96]",76|79|92|93|96,1,1,2,3,2,1,300.0,100.0,1,05:18:00,1,04:37:00,9,11,12,13,Unknownx5,5,76|79|92|93|96,1:76|1:79|1:92|1:93|1:96,"[76, 79, 92, 93, 96]","['1:76', '1:79', '1:92', '1:93', '1:96']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'B. Colson Ii', 'T. Tucker']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,75.1,95.0,"[76, 92, 93, 94, 96]",76|92|93|94|96,3,3,3,6,2,4,200.0,66.66666666666667,1,04:37:00,1,03:10:00,12,13,18,15,Unknownx5,5,76|92|93|94|96,1:76|1:92|1:93|1:94|1:96,"[76, 92, 93, 94, 96]","['1:76', '1:92', '1:93', '1:94', '1:96']","['M. Mahmutoglu', 'N. Melli', 'B. Colson Ii', 'W. Baldwin Iv', 'T. Tucker']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,95.1,138.0,"[76, 77, 89, 93, 94]",76|77|89|93|94,7,7,6,9,7,2,128.57142857142858,116.66666666666667,1,03:10:00,1,00:45:10,18,15,27,22,Unknownx5,5,76|77|89|93|94,1:76|1:77|1:89|1:93|1:94,"[76, 77, 89, 93, 94]","['1:76', '1:77', '1:89', '1:93', '1:94']","['M. Mahmutoglu', 'J. Birsen', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,138.1,146.0,"[77, 78, 89, 93, 94]",77|78|89|93|94,0,0,0,0,0,0,,,1,00:45:10,1,00:39:30,27,22,27,22,Unknownx5,5,77|78|89|93|94,1:77|1:78|1:89|1:93|1:94,"[77, 78, 89, 93, 94]","['1:77', '1:78', '1:89', '1:93', '1:94']","['J. Birsen', 'M. Eksioglu', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,146.1,163.0,"[76, 77, 93, 94, 96]",76|77|93|94|96,3,3,3,4,5,-1,133.33333333333334,166.66666666666666,1,00:39:30,2,10:00:00,27,22,31,27,Unknownx5,5,76|77|93|94|96,1:76|1:77|1:93|1:94|1:96,"[76, 77, 93, 94, 96]","['1:76', '1:77', '1:93', '1:94', '1:96']","['M. Mahmutoglu', 'J. Birsen', 'B. Colson Ii', 'W. Baldwin Iv', 'T. Tucker']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,163.1,179.0,"[76, 77, 89, 93, 94]",76|77|89|93|94,3,3,4,0,4,-4,0.0,100.0,2,10:00:00,2,08:29:00,31,27,31,31,Unknownx5,5,76|77|89|93|94,1:76|1:77|1:89|1:93|1:94,"[76, 77, 89, 93, 94]","['1:76', '1:77', '1:89', '1:93', '1:94']","['M. Mahmutoglu', 'J. Birsen', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,179.1,195.0,"[77, 79, 93, 95, 96]",77|79|93|95|96,3,3,2,4,2,2,133.33333333333334,100.0,2,08:29:00,2,07:30:00,31,31,35,33,Unknownx5,5,77|79|93|95|96,1:77|1:79|1:93|1:95|1:96,"[77, 79, 93, 95, 96]","['1:77', '1:79', '1:93', '1:95', '1:96']","['J. Birsen', 'T. Biberoviç', 'B. Colson Ii', 'D. Hall', 'T. Tucker']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,195.1,236.0,"[79, 92, 95, 96, 98]",79|92|95|96|98,6,6,6,7,2,5,116.66666666666667,33.333333333333336,2,07:30:00,2,05:36:00,35,33,42,35,Unknownx5,5,79|92|95|96|98,1:79|1:92|1:95|1:96|1:98,"[79, 92, 95, 96, 98]","['1:79', '1:92', '1:95', '1:96', '1:98']","['T. Biberoviç', 'N. Melli', 'D. Hall', 'T. Tucker', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,236.1,250.0,"[76, 79, 92, 95, 98]",76|79|92|95|98,2,2,3,5,2,3,250.0,66.66666666666667,2,05:36:00,2,03:57:00,42,35,47,37,Unknownx5,5,76|79|92|95|98,1:76|1:79|1:92|1:95|1:98,"[76, 79, 92, 95, 98]","['1:76', '1:79', '1:92', '1:95', '1:98']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'D. Hall', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,250.1,294.0,"[76, 77, 79, 93, 94]",76|77|79|93|94,6,6,6,8,4,4,133.33333333333334,66.66666666666667,2,03:57:00,2,01:54:00,47,37,55,41,Unknownx5,5,76|77|79|93|94,1:76|1:77|1:79|1:93|1:94,"[76, 77, 79, 93, 94]","['1:76', '1:77', '1:79', '1:93', '1:94']","['M. Mahmutoglu', 'J. Birsen', 'T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,294.1,334.0,"[77, 78, 89, 93, 94]",77|78|89|93|94,5,5,5,5,0,5,100.0,0.0,2,01:54:00,2,00:13:70,55,41,60,41,Unknownx5,5,77|78|89|93|94,1:77|1:78|1:89|1:93|1:94,"[77, 78, 89, 93, 94]","['1:77', '1:78', '1:89', '1:93', '1:94']","['J. Birsen', 'M. Eksioglu', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,334.1,345.0,"[78, 89, 93, 94, 96]",78|89|93|94|96,1,1,1,0,0,0,0.0,0.0,2,00:13:70,3,10:00:00,60,41,60,41,Unknownx5,5,78|89|93|94|96,1:78|1:89|1:93|1:94|1:96,"[78, 89, 93, 94, 96]","['1:78', '1:89', '1:93', '1:94', '1:96']","['M. Eksioglu', 'O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv', 'T. Tucker']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,345.1,411.0,"[79, 92, 95, 96, 98]",79|92|95|96|98,10,10,10,14,7,7,140.0,70.0,3,10:00:00,3,06:05:00,60,41,74,48,Unknownx5,5,79|92|95|96|98,1:79|1:92|1:95|1:96|1:98,"[79, 92, 95, 96, 98]","['1:79', '1:92', '1:95', '1:96', '1:98']","['T. Biberoviç', 'N. Melli', 'D. Hall', 'T. Tucker', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,411.1,419.0,"[77, 79, 95, 96, 98]",77|79|95|96|98,2,2,1,0,2,-2,0.0,200.0,3,06:05:00,3,05:26:00,74,48,74,50,Unknownx5,5,77|79|95|96|98,1:77|1:79|1:95|1:96|1:98,"[77, 79, 95, 96, 98]","['1:77', '1:79', '1:95', '1:96', '1:98']","['J. Birsen', 'T. Biberoviç', 'D. Hall', 'T. Tucker', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,419.1,458.0,"[79, 93, 94, 96, 98]",79|93|94|96|98,6,6,6,5,7,-2,83.33333333333333,116.66666666666667,3,05:26:00,3,02:52:00,74,50,79,57,Unknownx5,5,79|93|94|96|98,1:79|1:93|1:94|1:96|1:98,"[79, 93, 94, 96, 98]","['1:79', '1:93', '1:94', '1:96', '1:98']","['T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv', 'T. Tucker', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,458.1,510.0,"[76, 89, 92, 93, 94]",76|89|92|93|94,5,5,6,3,9,-6,60.0,150.0,3,02:52:00,3,00:04:70,79,57,82,66,Unknownx5,5,76|89|92|93|94,1:76|1:89|1:92|1:93|1:94,"[76, 89, 92, 93, 94]","['1:76', '1:89', '1:92', '1:93', '1:94']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'B. Colson Ii', 'W. Baldwin Iv']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,510.1,521.0,"[78, 89, 92, 93, 94]",78|89|92|93|94,1,1,1,0,0,0,0.0,0.0,3,00:04:70,4,10:00:00,82,66,82,66,Unknownx5,5,78|89|92|93|94,1:78|1:89|1:92|1:93|1:94,"[78, 89, 92, 93, 94]","['1:78', '1:89', '1:92', '1:93', '1:94']","['M. Eksioglu', 'O. Bitim', 'N. Melli', 'B. Colson Ii', 'W. Baldwin Iv']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,521.1,578.0,"[76, 77, 78, 95, 98]",76|77|78|95|98,9,9,8,4,2,2,44.44444444444444,25.0,4,10:00:00,4,06:34:00,82,66,86,68,Unknownx5,5,76|77|78|95|98,1:76|1:77|1:78|1:95|1:98,"[76, 77, 78, 95, 98]","['1:76', '1:77', '1:78', '1:95', '1:98']","['M. Mahmutoglu', 'J. Birsen', 'M. Eksioglu', 'D. Hall', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,578.1,633.0,"[76, 77, 78, 79, 96]",76|77|78|79|96,11,11,11,5,9,-4,45.45454545454545,81.81818181818181,4,06:34:00,4,03:39:00,86,68,91,77,Unknownx5,5,76|77|78|79|96,1:76|1:77|1:78|1:79|1:96,"[76, 77, 78, 79, 96]","['1:76', '1:77', '1:78', '1:79', '1:96']","['M. Mahmutoglu', 'J. Birsen', 'M. Eksioglu', 'T. Biberoviç', 'T. Tucker']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,633.1,678.0,"[76, 77, 78, 93, 96]",76|77|78|93|96,8,8,9,6,4,2,75.0,44.44444444444444,4,03:39:00,4,01:10:00,91,77,97,81,Unknownx5,5,76|77|78|93|96,1:76|1:77|1:78|1:93|1:96,"[76, 77, 78, 93, 96]","['1:76', '1:77', '1:78', '1:93', '1:96']","['M. Mahmutoglu', 'J. Birsen', 'M. Eksioglu', 'B. Colson Ii', 'T. Tucker']",FENERBAHÇE BEKO
