team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,MERSIN SPOR,1.0,62.0,"[5, 8, 9, 10, 55]",5|8|9|10|55,14,14,14,7,12,-5,50.0,85.71428571428571,1,10:00:00,1,04:55:00,0,0,7,12,Unknownx5,5,5|8|9|10|55,1:5|1:8|1:9|1:10|1:55,"[5, 8, 9, 10, 55]","['1:5', '1:8', '1:9', '1:10', '1:55']","['J. Cobbs', 'L. Apaydin', 'J. White', 'R. March Jr', 'A. Olaseni']",MERSIN SPOR
1,MERSIN SPOR,62.1,93.0,"[4, 5, 6, 9, 55]",4|5|6|9|55,6,6,7,6,4,2,100.0,57.142857142857146,1,04:55:00,1,02:25:00,7,12,13,16,Unknownx5,5,4|5|6|9|55,1:4|1:5|1:6|1:9|1:55,"[4, 5, 6, 9, 55]","['1:4', '1:5', '1:6', '1:9', '1:55']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",MERSIN SPOR
1,MERSIN SPOR,93.1,114.0,"[4, 6, 9, 55, 56]",4|6|9|55|56,4,4,3,3,4,-1,75.0,133.33333333333334,1,02:25:00,1,00:50:90,13,16,16,20,Unknownx5,5,4|6|9|55|56,1:4|1:6|1:9|1:55|1:56,"[4, 6, 9, 55, 56]","['1:4', '1:6', '1:9', '1:55', '1:56']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",MERSIN SPOR
1,MERSIN SPOR,114.1,167.0,"[4, 6, 7, 9, 56]",4|6|7|9|56,7,7,8,6,1,5,85.71428571428571,12.5,1,00:50:90,2,08:41:00,16,20,22,21,Unknownx5,5,4|6|7|9|56,1:4|1:6|1:7|1:9|1:56,"[4, 6, 7, 9, 56]","['1:4', '1:6', '1:7', '1:9', '1:56']","['E. Tirpanci', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'A. Cowan']",MERSIN SPOR
1,MERSIN SPOR,167.1,201.0,"[4, 6, 7, 55, 56]",4|6|7|55|56,8,8,7,5,6,-1,62.5,85.71428571428571,2,08:41:00,2,06:16:00,22,21,27,27,Unknownx5,5,4|6|7|55|56,1:4|1:6|1:7|1:55|1:56,"[4, 6, 7, 55, 56]","['1:4', '1:6', '1:7', '1:55', '1:56']","['E. Tirpanci', 'F. Cruz Saldivar', 'B. Bentil', 'A. Olaseni', 'A. Cowan']",MERSIN SPOR
1,MERSIN SPOR,201.1,229.0,"[4, 5, 6, 7, 55]",4|5|6|7|55,2,2,2,0,4,-4,0.0,200.0,2,06:16:00,2,04:34:00,27,27,27,31,Unknownx5,5,4|5|6|7|55,1:4|1:5|1:6|1:7|1:55,"[4, 5, 6, 7, 55]","['1:4', '1:5', '1:6', '1:7', '1:55']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'B. Bentil', 'A. Olaseni']",MERSIN SPOR
1,MERSIN SPOR,229.1,268.0,"[4, 5, 9, 55, 56]",4|5|9|55|56,6,6,6,7,0,7,116.66666666666667,0.0,2,04:34:00,2,02:49:00,27,31,34,31,Unknownx5,5,4|5|9|55|56,1:4|1:5|1:9|1:55|1:56,"[4, 5, 9, 55, 56]","['1:4', '1:5', '1:9', '1:55', '1:56']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",MERSIN SPOR
1,MERSIN SPOR,268.1,282.0,"[3, 5, 9, 55, 56]",3|5|9|55|56,2,2,2,5,2,3,250.0,100.0,2,02:49:00,2,01:46:00,34,31,39,33,Unknownx5,5,3|5|9|55|56,1:3|1:5|1:9|1:55|1:56,"[3, 5, 9, 55, 56]","['1:3', '1:5', '1:9', '1:55', '1:56']","['K. Özmizrak', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",MERSIN SPOR
1,MERSIN SPOR,282.1,296.0,"[3, 5, 7, 9, 56]",3|5|7|9|56,1,1,2,2,2,0,200.0,100.0,2,01:46:00,2,01:25:00,39,33,41,35,Unknownx5,5,3|5|7|9|56,1:3|1:5|1:7|1:9|1:56,"[3, 5, 7, 9, 56]","['1:3', '1:5', '1:7', '1:9', '1:56']","['K. Özmizrak', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",MERSIN SPOR
1,MERSIN SPOR,296.1,318.0,"[3, 5, 7, 9, 10]",3|5|7|9|10,4,4,4,1,2,-1,25.0,50.0,2,01:25:00,2,00:30:80,41,35,42,37,Unknownx5,5,3|5|7|9|10,1:3|1:5|1:7|1:9|1:10,"[3, 5, 7, 9, 10]","['1:3', '1:5', '1:7', '1:9', '1:10']","['K. Özmizrak', 'J. Cobbs', 'B. Bentil', 'J. White', 'R. March Jr']",MERSIN SPOR
