team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,MERSIN SPOR,MSK,53,A. Alyanak,11,,,1:53
1,MERSIN SPOR,MSK,56,A. Cowan,7,,,1:56
1,MERSIN SPOR,MSK,55,A. Olaseni,0,,,1:55
1,MERSIN SPOR,MSK,7,B. Bentil,50,,,1:7
1,MERSIN SPOR,MSK,4,E. Tirpanci,10,,,1:4
1,MERSIN SPOR,MSK,6,F. Cruz Saldivar,9,,,1:6
1,MERSIN SPOR,MSK,5,J. Cobbs,1,,,1:5
1,MERSIN SPOR,MSK,9,J. White,14,,,1:9
1,MERSIN SPOR,MSK,3,K. Özmizrak,3,,,1:3
1,MERSIN SPOR,MSK,8,L. Apaydin,5,,,1:8
1,MERSIN SPOR,MSK,2,M. Kiliçli,13,,,1:2
1,MERSIN SPOR,MSK,10,R. March Jr,4,,,1:10
2,TOFAS,TOF,89,A. Perez,2,,,2:89
2,TOFAS,TOF,57,E. Postel,6,,,2:57
2,TOFAS,TOF,90,H. Besson,25,,,2:90
2,TOFAS,TOF,93,J. Thomasson Jr,32,,,2:93
2,TOFAS,TOF,56,K. Efeoglu,16,,,2:56
2,TOFAS,TOF,88,M. Blazevic,22,,,2:88
2,TOFAS,TOF,91,M. Lewis Iii,21,,,2:91
2,TOFAS,TOF,92,S. Whaley,5,,,2:92
2,TOFAS,TOF,55,T. Geçim,8,,,2:55
2,TOFAS,TOF,94,W. Kidd Jr,15,,,2:94
2,TOFAS,TOF,66,Y. Saybir,3,,,2:66
2,TOFAS,TOF,67,Ö. Cengiz,1,,,2:67
