team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,MERSIN SPOR,1.0,62.0,"[5, 8, 9, 10, 55]",5,5|8|9|10|55,"['1:5', '1:8', '1:9', '1:10', '1:55']","['J. Cobbs', 'L. Apaydin', 'J. White', 'R. March Jr', 'A. Olaseni']",1:5|1:8|1:9|1:10|1:55,Unknownx5,1,10:00:00,1,04:55:00,0,0,7,12
1,MERSIN SPOR,62.1,93.0,"[4, 5, 6, 9, 55]",5,4|5|6|9|55,"['1:4', '1:5', '1:6', '1:9', '1:55']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",1:4|1:5|1:6|1:9|1:55,Unknownx5,1,04:55:00,1,02:25:00,7,12,13,16
1,MERSIN SPOR,93.1,114.0,"[4, 6, 9, 55, 56]",5,4|6|9|55|56,"['1:4', '1:6', '1:9', '1:55', '1:56']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",1:4|1:6|1:9|1:55|1:56,Unknownx5,1,02:25:00,1,00:50:90,13,16,16,20
1,MERSIN SPOR,114.1,167.0,"[4, 6, 7, 9, 56]",5,4|6|7|9|56,"['1:4', '1:6', '1:7', '1:9', '1:56']","['E. Tirpanci', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'A. Cowan']",1:4|1:6|1:7|1:9|1:56,Unknownx5,1,00:50:90,2,08:41:00,16,20,22,21
1,MERSIN SPOR,167.1,201.0,"[4, 6, 7, 55, 56]",5,4|6|7|55|56,"['1:4', '1:6', '1:7', '1:55', '1:56']","['E. Tirpanci', 'F. Cruz Saldivar', 'B. Bentil', 'A. Olaseni', 'A. Cowan']",1:4|1:6|1:7|1:55|1:56,Unknownx5,2,08:41:00,2,06:16:00,22,21,27,27
1,MERSIN SPOR,201.1,229.0,"[4, 5, 6, 7, 55]",5,4|5|6|7|55,"['1:4', '1:5', '1:6', '1:7', '1:55']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'B. Bentil', 'A. Olaseni']",1:4|1:5|1:6|1:7|1:55,Unknownx5,2,06:16:00,2,04:34:00,27,27,27,31
1,MERSIN SPOR,229.1,268.0,"[4, 5, 9, 55, 56]",5,4|5|9|55|56,"['1:4', '1:5', '1:9', '1:55', '1:56']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",1:4|1:5|1:9|1:55|1:56,Unknownx5,2,04:34:00,2,02:49:00,27,31,34,31
1,MERSIN SPOR,268.1,282.0,"[3, 5, 9, 55, 56]",5,3|5|9|55|56,"['1:3', '1:5', '1:9', '1:55', '1:56']","['K. Özmizrak', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",1:3|1:5|1:9|1:55|1:56,Unknownx5,2,02:49:00,2,01:46:00,34,31,39,33
1,MERSIN SPOR,282.1,296.0,"[3, 5, 7, 9, 56]",5,3|5|7|9|56,"['1:3', '1:5', '1:7', '1:9', '1:56']","['K. Özmizrak', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",1:3|1:5|1:7|1:9|1:56,Unknownx5,2,01:46:00,2,01:25:00,39,33,41,35
1,MERSIN SPOR,296.1,318.0,"[3, 5, 7, 9, 10]",5,3|5|7|9|10,"['1:3', '1:5', '1:7', '1:9', '1:10']","['K. Özmizrak', 'J. Cobbs', 'B. Bentil', 'J. White', 'R. March Jr']",1:3|1:5|1:7|1:9|1:10,Unknownx5,2,01:25:00,2,00:30:80,41,35,42,37
1,MERSIN SPOR,318.1,337.0,"[3, 5, 6, 9, 10]",5,3|5|6|9|10,"['1:3', '1:5', '1:6', '1:9', '1:10']","['K. Özmizrak', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'R. March Jr']",1:3|1:5|1:6|1:9|1:10,Unknownx5,2,00:30:80,3,10:00:00,42,37,42,37
1,MERSIN SPOR,337.1,400.0,"[3, 5, 6, 9, 55]",5,3|5|6|9|55,"['1:3', '1:5', '1:6', '1:9', '1:55']","['K. Özmizrak', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",1:3|1:5|1:6|1:9|1:55,Unknownx5,3,10:00:00,3,05:10:00,42,37,52,48
1,MERSIN SPOR,400.1,408.0,"[3, 6, 9, 55, 56]",5,3|6|9|55|56,"['1:3', '1:6', '1:9', '1:55', '1:56']","['K. Özmizrak', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",1:3|1:6|1:9|1:55|1:56,Unknownx5,3,05:10:00,3,04:52:00,52,48,52,48
1,MERSIN SPOR,408.1,430.0,"[3, 6, 7, 9, 56]",5,3|6|7|9|56,"['1:3', '1:6', '1:7', '1:9', '1:56']","['K. Özmizrak', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'A. Cowan']",1:3|1:6|1:7|1:9|1:56,Unknownx5,3,04:52:00,3,03:10:00,52,48,53,53
1,MERSIN SPOR,430.1,495.0,"[4, 7, 9, 10, 56]",5,4|7|9|10|56,"['1:4', '1:7', '1:9', '1:10', '1:56']","['E. Tirpanci', 'B. Bentil', 'J. White', 'R. March Jr', 'A. Cowan']",1:4|1:7|1:9|1:10|1:56,Unknownx5,3,03:10:00,3,00:26:60,53,53,61,59
