team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,ANADOLU EFES,1.0,68.0,"[73, 80, 87, 88, 89]",5,73|80|87|88|89,"['1:73', '1:80', '1:87', '1:88', '1:89']","['B. Dessert', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani']",1:73|1:80|1:87|1:88|1:89,Unknownx5,1,10:00:00,1,06:05:00,0,0,15,8
1,ANADOLU EFES,68.1,102.0,"[73, 87, 88, 89, 92]",5,73|87|88|89|92,"['1:73', '1:87', '1:88', '1:89', '1:92']","['B. Dessert', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",1:73|1:87|1:88|1:89|1:92,Unknownx5,1,06:05:00,1,04:22:00,15,8,22,10
1,ANADOLU EFES,102.1,130.0,"[75, 87, 88, 89, 92]",5,75|87|88|89|92,"['1:75', '1:87', '1:88', '1:89', '1:92']","['C. Swider', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",1:75|1:87|1:88|1:89|1:92,Unknownx5,1,04:22:00,1,02:53:00,22,10,25,13
1,ANADOLU EFES,130.1,161.0,"[75, 81, 86, 88, 92]",5,75|81|86|88|92,"['1:75', '1:81', '1:86', '1:88', '1:92']","['C. Swider', 'S. Hazer', 'R. Smits', 'I. Cordinier', 'J. Loyd']",1:75|1:81|1:86|1:88|1:92,Unknownx5,1,02:53:00,1,00:50:80,25,13,30,16
1,ANADOLU EFES,161.1,177.0,"[72, 75, 81, 86, 92]",5,72|75|81|86|92,"['1:72', '1:75', '1:81', '1:86', '1:92']","['R. Beaubois', 'C. Swider', 'S. Hazer', 'R. Smits', 'J. Loyd']",1:72|1:75|1:81|1:86|1:92,Unknownx5,1,00:50:80,1,00:16:30,30,16,32,16
1,ANADOLU EFES,177.1,232.0,"[72, 75, 80, 81, 86]",5,72|75|80|81|86,"['1:72', '1:75', '1:80', '1:81', '1:86']","['R. Beaubois', 'C. Swider', 'E. Yilmaz', 'S. Hazer', 'R. Smits']",1:72|1:75|1:80|1:81|1:86,Unknownx5,1,00:16:30,2,07:22:00,32,16,35,27
1,ANADOLU EFES,232.1,270.0,"[72, 73, 75, 80, 81]",5,72|73|75|80|81,"['1:72', '1:73', '1:75', '1:80', '1:81']","['R. Beaubois', 'B. Dessert', 'C. Swider', 'E. Yilmaz', 'S. Hazer']",1:72|1:73|1:75|1:80|1:81,Unknownx5,2,07:22:00,2,05:16:00,35,27,42,29
1,ANADOLU EFES,270.1,292.0,"[72, 73, 75, 81, 88]",5,72|73|75|81|88,"['1:72', '1:73', '1:75', '1:81', '1:88']","['R. Beaubois', 'B. Dessert', 'C. Swider', 'S. Hazer', 'I. Cordinier']",1:72|1:73|1:75|1:81|1:88,Unknownx5,2,05:16:00,2,04:21:00,42,29,42,29
1,ANADOLU EFES,292.1,348.0,"[73, 75, 81, 87, 88]",5,73|75|81|87|88,"['1:73', '1:75', '1:81', '1:87', '1:88']","['B. Dessert', 'C. Swider', 'S. Hazer', 'N. Weiler-Babb', 'I. Cordinier']",1:73|1:75|1:81|1:87|1:88,Unknownx5,2,04:21:00,2,01:40:00,42,29,48,33
1,ANADOLU EFES,348.1,403.0,"[73, 80, 87, 88, 92]",5,73|80|87|88|92,"['1:73', '1:80', '1:87', '1:88', '1:92']","['B. Dessert', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier', 'J. Loyd']",1:73|1:80|1:87|1:88|1:92,Unknownx5,2,01:40:00,2,00:07:60,48,33,52,36
1,ANADOLU EFES,403.1,411.0,"[80, 81, 87, 88, 92]",5,80|81|87|88|92,"['1:80', '1:81', '1:87', '1:88', '1:92']","['E. Yilmaz', 'S. Hazer', 'N. Weiler-Babb', 'I. Cordinier', 'J. Loyd']",1:80|1:81|1:87|1:88|1:92,Unknownx5,2,00:07:60,3,10:00:00,52,36,52,38
1,ANADOLU EFES,411.1,457.0,"[73, 80, 87, 88, 89]",5,73|80|87|88|89,"['1:73', '1:80', '1:87', '1:88', '1:89']","['B. Dessert', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani']",1:73|1:80|1:87|1:88|1:89,Unknownx5,3,10:00:00,3,07:12:00,52,38,56,41
1,ANADOLU EFES,457.1,513.0,"[72, 73, 87, 88, 89]",5,72|73|87|88|89,"['1:72', '1:73', '1:87', '1:88', '1:89']","['R. Beaubois', 'B. Dessert', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani']",1:72|1:73|1:87|1:88|1:89,Unknownx5,3,07:12:00,3,03:25:00,56,41,71,44
1,ANADOLU EFES,513.1,532.0,"[72, 73, 75, 80, 87]",5,72|73|75|80|87,"['1:72', '1:73', '1:75', '1:80', '1:87']","['R. Beaubois', 'B. Dessert', 'C. Swider', 'E. Yilmaz', 'N. Weiler-Babb']",1:72|1:73|1:75|1:80|1:87,Unknownx5,3,03:25:00,3,01:59:00,71,44,73,47
1,ANADOLU EFES,532.1,569.0,"[72, 75, 80, 86, 87]",5,72|75|80|86|87,"['1:72', '1:75', '1:80', '1:86', '1:87']","['R. Beaubois', 'C. Swider', 'E. Yilmaz', 'R. Smits', 'N. Weiler-Babb']",1:72|1:75|1:80|1:86|1:87,Unknownx5,3,01:59:00,4,10:00:00,73,47,77,52
1,ANADOLU EFES,569.1,662.0,"[72, 75, 81, 82, 86]",5,72|75|81|82|86,"['1:72', '1:75', '1:81', '1:82', '1:86']","['R. Beaubois', 'C. Swider', 'S. Hazer', 'S. Mutaf', 'R. Smits']",1:72|1:75|1:81|1:82|1:86,Unknownx5,4,10:00:00,4,05:02:00,77,52,85,61
