team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,ANADOLU EFES,EFS,72,R. Beaubois,Rodrigue,Beaubois,1,0,1.0,0,,,18:40,3,6,50,1,3,33,2,3,66,0,0,0,1,0,1,1,1,1,0,0,1,0,7,0,2,8,4,R. Beaubois,1:72
1,ANADOLU EFES,EFS,81,S. Hazer,Sehmus,Hazer,2,0,,1,,,21:21,3,7,42,1,4,25,2,3,66,5,8,62,1,0,1,3,1,2,1,0,2,4,12,0,7,-6,4,S. Hazer,1:81
1,ANADOLU EFES,EFS,92,J. Loyd,Jordan,Loyd,3,0,,0,,,7:29,1,3,33,0,1,0,1,2,50,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,2,8,2,J. Loyd,1:92
1,ANADOLU EFES,EFS,87,N. Weiler-Babb,Nick,Weiler-Babb,8,1,,0,,,21:28,3,4,75,1,2,50,2,2,100,3,3,100,1,0,1,8,0,2,0,0,2,3,10,0,2,24,4,N. Weiler-Babb,1:87
1,ANADOLU EFES,EFS,88,I. Cordinier,Isaia,Cordinier,10,1,,0,,,21:00,6,9,66,4,6,66,2,3,66,2,2,100,7,0,7,1,2,0,0,0,1,1,18,0,5,28,4,I. Cordinier,1:88
1,ANADOLU EFES,EFS,86,R. Smits,Rolands,Smits,11,0,,0,,,12:28,1,3,33,0,1,0,1,2,50,0,0,0,4,2,6,3,0,0,0,0,1,0,2,0,0,-6,2,R. Smits,1:86
1,ANADOLU EFES,EFS,73,B. Dessert,Brice,Dessert,13,1,,0,,,20:53,2,3,66,0,0,0,2,3,66,2,2,100,2,0,2,0,1,0,1,0,1,3,6,0,0,32,4,B. Dessert,1:73
1,ANADOLU EFES,EFS,71,B. Yildizli,Burak Can,Yildizli,19,0,,1,,,5:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-6,0,B. Yildizli,1:71
1,ANADOLU EFES,EFS,75,C. Swider,Cole,Swider,21,0,,1,,,26:07,4,8,50,2,6,33,2,2,100,1,2,50,5,0,5,0,2,0,0,0,2,3,11,6,2,-6,4,C. Swider,1:75
1,ANADOLU EFES,EFS,82,S. Mutaf,Sarper David,Mutaf,23,0,,1,,,10:00,0,0,0,0,0,0,0,0,0,1,2,50,1,0,1,0,2,0,0,0,1,1,1,0,0,-7,0,S. Mutaf,1:82
