team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,ANADOLU EFES,1.0,68.0,"[73, 80, 87, 88, 89]",73|80|87|88|89,11,11,12,15,8,7,136.36363636363637,66.66666666666667,1,10:00:00,1,06:05:00,0,0,15,8,Unknownx5,5,73|80|87|88|89,1:73|1:80|1:87|1:88|1:89,"[73, 80, 87, 88, 89]","['1:73', '1:80', '1:87', '1:88', '1:89']","['B. Dessert', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani']",ANADOLU EFES
1,ANADOLU EFES,68.1,102.0,"[73, 87, 88, 89, 92]",73|87|88|89|92,6,6,5,7,2,5,116.66666666666667,40.0,1,06:05:00,1,04:22:00,15,8,22,10,Unknownx5,5,73|87|88|89|92,1:73|1:87|1:88|1:89|1:92,"[73, 87, 88, 89, 92]","['1:73', '1:87', '1:88', '1:89', '1:92']","['B. Dessert', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,102.1,130.0,"[75, 87, 88, 89, 92]",75|87|88|89|92,5,5,6,3,3,0,60.0,50.0,1,04:22:00,1,02:53:00,22,10,25,13,Unknownx5,5,75|87|88|89|92,1:75|1:87|1:88|1:89|1:92,"[75, 87, 88, 89, 92]","['1:75', '1:87', '1:88', '1:89', '1:92']","['C. Swider', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,130.1,161.0,"[75, 81, 86, 88, 92]",75|81|86|88|92,5,5,4,5,3,2,100.0,75.0,1,02:53:00,1,00:50:80,25,13,30,16,Unknownx5,5,75|81|86|88|92,1:75|1:81|1:86|1:88|1:92,"[75, 81, 86, 88, 92]","['1:75', '1:81', '1:86', '1:88', '1:92']","['C. Swider', 'S. Hazer', 'R. Smits', 'I. Cordinier', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,161.1,177.0,"[72, 75, 81, 86, 92]",72|75|81|86|92,3,3,3,2,0,2,66.66666666666667,0.0,1,00:50:80,1,00:16:30,30,16,32,16,Unknownx5,5,72|75|81|86|92,1:72|1:75|1:81|1:86|1:92,"[72, 75, 81, 86, 92]","['1:72', '1:75', '1:81', '1:86', '1:92']","['R. Beaubois', 'C. Swider', 'S. Hazer', 'R. Smits', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,177.1,232.0,"[72, 75, 80, 81, 86]",72|75|80|81|86,8,8,8,3,11,-8,37.5,137.5,1,00:16:30,2,07:22:00,32,16,35,27,Unknownx5,5,72|75|80|81|86,1:72|1:75|1:80|1:81|1:86,"[72, 75, 80, 81, 86]","['1:72', '1:75', '1:80', '1:81', '1:86']","['R. Beaubois', 'C. Swider', 'E. Yilmaz', 'S. Hazer', 'R. Smits']",ANADOLU EFES
1,ANADOLU EFES,232.1,270.0,"[72, 73, 75, 80, 81]",72|73|75|80|81,6,6,7,7,2,5,116.66666666666667,28.571428571428573,2,07:22:00,2,05:16:00,35,27,42,29,Unknownx5,5,72|73|75|80|81,1:72|1:73|1:75|1:80|1:81,"[72, 73, 75, 80, 81]","['1:72', '1:73', '1:75', '1:80', '1:81']","['R. Beaubois', 'B. Dessert', 'C. Swider', 'E. Yilmaz', 'S. Hazer']",ANADOLU EFES
1,ANADOLU EFES,270.1,292.0,"[72, 73, 75, 81, 88]",72|73|75|81|88,3,3,3,0,0,0,0.0,0.0,2,05:16:00,2,04:21:00,42,29,42,29,Unknownx5,5,72|73|75|81|88,1:72|1:73|1:75|1:81|1:88,"[72, 73, 75, 81, 88]","['1:72', '1:73', '1:75', '1:81', '1:88']","['R. Beaubois', 'B. Dessert', 'C. Swider', 'S. Hazer', 'I. Cordinier']",ANADOLU EFES
1,ANADOLU EFES,292.1,348.0,"[73, 75, 81, 87, 88]",73|75|81|87|88,9,9,9,6,4,2,66.66666666666667,44.44444444444444,2,04:21:00,2,01:40:00,42,29,48,33,Unknownx5,5,73|75|81|87|88,1:73|1:75|1:81|1:87|1:88,"[73, 75, 81, 87, 88]","['1:73', '1:75', '1:81', '1:87', '1:88']","['B. Dessert', 'C. Swider', 'S. Hazer', 'N. Weiler-Babb', 'I. Cordinier']",ANADOLU EFES
1,ANADOLU EFES,348.1,403.0,"[73, 80, 87, 88, 92]",73|80|87|88|92,8,8,8,4,3,1,50.0,37.5,2,01:40:00,2,00:07:60,48,33,52,36,Unknownx5,5,73|80|87|88|92,1:73|1:80|1:87|1:88|1:92,"[73, 80, 87, 88, 92]","['1:73', '1:80', '1:87', '1:88', '1:92']","['B. Dessert', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,403.1,411.0,"[80, 81, 87, 88, 92]",80|81|87|88|92,1,1,0,0,2,-2,0.0,,2,00:07:60,3,10:00:00,52,36,52,38,Unknownx5,5,80|81|87|88|92,1:80|1:81|1:87|1:88|1:92,"[80, 81, 87, 88, 92]","['1:80', '1:81', '1:87', '1:88', '1:92']","['E. Yilmaz', 'S. Hazer', 'N. Weiler-Babb', 'I. Cordinier', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,411.1,457.0,"[73, 80, 87, 88, 89]",73|80|87|88|89,7,7,7,4,3,1,57.142857142857146,42.857142857142854,3,10:00:00,3,07:12:00,52,38,56,41,Unknownx5,5,73|80|87|88|89,1:73|1:80|1:87|1:88|1:89,"[73, 80, 87, 88, 89]","['1:73', '1:80', '1:87', '1:88', '1:89']","['B. Dessert', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani']",ANADOLU EFES
1,ANADOLU EFES,457.1,513.0,"[72, 73, 87, 88, 89]",72|73|87|88|89,9,9,10,15,3,12,166.66666666666666,30.0,3,07:12:00,3,03:25:00,56,41,71,44,Unknownx5,5,72|73|87|88|89,1:72|1:73|1:87|1:88|1:89,"[72, 73, 87, 88, 89]","['1:72', '1:73', '1:87', '1:88', '1:89']","['R. Beaubois', 'B. Dessert', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani']",ANADOLU EFES
