team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,TOFAS,1.0,94.0,"[66, 88, 89, 91, 93]",5,66|88|89|91|93,"['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",1:66|1:88|1:89|1:91|1:93,Unknownx5,1,10:00:00,1,03:22:00,0,0,18,4
1,TOFAS,94.1,107.0,"[66, 67, 88, 90, 93]",5,66|67|88|90|93,"['1:66', '1:67', '1:88', '1:90', '1:93']","['Y. Saybir', 'Ö. Cengiz', 'M. Blazevic', 'H. Besson', 'J. Thomasson Jr']",1:66|1:67|1:88|1:90|1:93,Unknownx5,1,03:22:00,1,03:07:00,18,4,18,5
1,TOFAS,107.1,127.0,"[55, 66, 67, 88, 90]",5,55|66|67|88|90,"['1:55', '1:66', '1:67', '1:88', '1:90']","['T. Geçim', 'Y. Saybir', 'Ö. Cengiz', 'M. Blazevic', 'H. Besson']",1:55|1:66|1:67|1:88|1:90,Unknownx5,1,03:07:00,1,02:36:00,18,5,18,5
1,TOFAS,127.1,140.0,"[55, 66, 67, 90, 94]",5,55|66|67|90|94,"['1:55', '1:66', '1:67', '1:90', '1:94']","['T. Geçim', 'Y. Saybir', 'Ö. Cengiz', 'H. Besson', 'W. Kidd Jr']",1:55|1:66|1:67|1:90|1:94,Unknownx5,1,02:36:00,1,02:19:00,18,5,18,5
1,TOFAS,140.1,222.0,"[55, 67, 90, 92, 94]",5,55|67|90|92|94,"['1:55', '1:67', '1:90', '1:92', '1:94']","['T. Geçim', 'Ö. Cengiz', 'H. Besson', 'S. Whaley', 'W. Kidd Jr']",1:55|1:67|1:90|1:92|1:94,Unknownx5,1,02:19:00,2,07:45:00,18,5,30,18
1,TOFAS,222.1,239.0,"[55, 89, 92, 93, 94]",5,55|89|92|93|94,"['1:55', '1:89', '1:92', '1:93', '1:94']","['T. Geçim', 'A. Perez', 'S. Whaley', 'J. Thomasson Jr', 'W. Kidd Jr']",1:55|1:89|1:92|1:93|1:94,Unknownx5,2,07:45:00,2,07:12:00,30,18,30,18
1,TOFAS,239.1,256.0,"[55, 88, 89, 92, 93]",5,55|88|89|92|93,"['1:55', '1:88', '1:89', '1:92', '1:93']","['T. Geçim', 'M. Blazevic', 'A. Perez', 'S. Whaley', 'J. Thomasson Jr']",1:55|1:88|1:89|1:92|1:93,Unknownx5,2,07:12:00,2,06:27:00,30,18,30,22
1,TOFAS,256.1,326.0,"[66, 88, 89, 91, 93]",5,66|88|89|91|93,"['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",1:66|1:88|1:89|1:91|1:93,Unknownx5,2,06:27:00,2,02:52:00,30,22,41,30
1,TOFAS,326.1,353.0,"[66, 89, 91, 92, 93]",5,66|89|91|92|93,"['1:66', '1:89', '1:91', '1:92', '1:93']","['Y. Saybir', 'A. Perez', 'M. Lewis Iii', 'S. Whaley', 'J. Thomasson Jr']",1:66|1:89|1:91|1:92|1:93,Unknownx5,2,02:52:00,3,10:00:00,41,30,50,32
1,TOFAS,353.1,433.0,"[66, 88, 89, 91, 93]",5,66|88|89|91|93,"['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",1:66|1:88|1:89|1:91|1:93,Unknownx5,3,10:00:00,3,04:27:00,50,32,57,46
1,TOFAS,433.1,458.0,"[55, 66, 88, 89, 93]",5,55|66|88|89|93,"['1:55', '1:66', '1:88', '1:89', '1:93']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'J. Thomasson Jr']",1:55|1:66|1:88|1:89|1:93,Unknownx5,3,04:27:00,3,03:03:00,57,46,62,46
1,TOFAS,458.1,479.0,"[55, 66, 88, 89, 90]",5,55|66|88|89|90,"['1:55', '1:66', '1:88', '1:89', '1:90']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'H. Besson']",1:55|1:66|1:88|1:89|1:90,Unknownx5,3,03:03:00,3,01:25:00,62,46,66,48
1,TOFAS,479.1,510.0,"[55, 66, 89, 90, 94]",5,55|66|89|90|94,"['1:55', '1:66', '1:89', '1:90', '1:94']","['T. Geçim', 'Y. Saybir', 'A. Perez', 'H. Besson', 'W. Kidd Jr']",1:55|1:66|1:89|1:90|1:94,Unknownx5,3,01:25:00,3,00:47:00,66,48,66,51
